"variable","pct_missing"
"country",0
"iso3c",0
"year",0
"ghe_share_gdp",12.4
"gdp_per_capita_ppp",3
"population",0
"region",0
"income",0
"tax_revenue_gdp",43.7
"urbanization",1.4
"fertility_rate",0.5
"oop_expenditure",12.6
"voice_accountability",10.8
"political_stability",11
"government_effectiveness",12.4
"regulatory_quality",12.5
"rule_of_law",10.6
"control_of_corruption",12
"governance_composite",10.5
"hale",7.9
"ghe_per_capita",12.8
"log_gdppc",3
"log_ghe_pc",12.8
"year_f",0
"income_base",0
