t_rel,coef,se,ci_low,ci_high,p,sample
-4,-0.201226670164255,0.196277713526828,-0.585930988676838,0.183477648348329,0.305262198901067,Full (incl. COVID-era spikes)
-3,-0.194251162993882,0.282173916072536,-0.747312038496053,0.358809712508289,0.491195035615736,Full (incl. COVID-era spikes)
-2,-0.167872519738143,0.254572036233623,-0.666833710756043,0.331088671279757,0.509619476378793,Full (incl. COVID-era spikes)
-1,-0.0547002343932233,0.210681238087067,-0.467635461043875,0.358234992257428,0.795145295009819,Full (incl. COVID-era spikes)
0,-0.0986387173705076,0.234300214431618,-0.557867137656478,0.360589702915463,0.673760295632985,Full (incl. COVID-era spikes)
1,-0.142352462383342,0.268159826790355,-0.667945722892439,0.383240798125754,0.595523197959586,Full (incl. COVID-era spikes)
2,-0.346433029666013,0.268649861500277,-0.872986758206555,0.180120698874529,0.197212634425637,Full (incl. COVID-era spikes)
3,-0.378073658910932,0.236435141912333,-0.841486537059105,0.0853392192372398,0.109807571301171,Full (incl. COVID-era spikes)
4,-0.436247610315423,0.240847327403543,-0.908308372026367,0.0358131513955209,0.0700938821420853,Full (incl. COVID-era spikes)
5,-0.513733090688681,0.261655975985145,-1.02657880361956,-0.000887377757797681,0.04960071337163,Full (incl. COVID-era spikes)
6,-0.575792909961594,0.318282299590506,-1.19962621715899,0.0480403972357965,0.0704411294636676,Full (incl. COVID-era spikes)
7,-0.621068268245755,0.345695198862095,-1.29863085801546,0.0564943215239511,0.0724026950830196,Full (incl. COVID-era spikes)
8,-0.521177990498304,0.269218357389224,-1.04884597098118,0.00648998998457484,0.0528807813512357,Full (incl. COVID-era spikes)
9,-0.360718175727146,0.163715912487676,-0.681601364202991,-0.0398349872513005,0.0275723608693225,Full (incl. COVID-era spikes)
-4,-0.397593570479288,0.284070741109989,-0.954372223054866,0.159185082096289,0.161624526134221,Excl. COVID-era spikes (2020-21)
-3,-0.408203892653932,0.410173849022976,-1.21214463673897,0.395736851431102,0.31964033181809,Excl. COVID-era spikes (2020-21)
-2,-0.449221804867546,0.416414617698567,-1.26539445555674,0.366950845821645,0.280683624393913,Excl. COVID-era spikes (2020-21)
-1,-0.383813384644072,0.31450478784003,-1.00024276881053,0.232615999522387,0.222323226920591,Excl. COVID-era spikes (2020-21)
0,-0.224951291123775,0.311058921596515,-0.834626777452944,0.384724195205393,0.469569896619159,Excl. COVID-era spikes (2020-21)
1,-0.308849966978675,0.365530296907857,-1.02528934891807,0.407589414960725,0.398146175967814,Excl. COVID-era spikes (2020-21)
2,-0.588718631385894,0.396044662830789,-1.36496617053424,0.187528907762453,0.137148091384612,Excl. COVID-era spikes (2020-21)
3,-0.56281064508688,0.361095874324115,-1.27055855876215,0.144937268588387,0.119086744307515,Excl. COVID-era spikes (2020-21)
4,-0.642570117340987,0.398836424260334,-1.42428950889124,0.139149274209268,0.107155330713521,Excl. COVID-era spikes (2020-21)
5,-0.710924893265518,0.419865611458228,-1.53386149172364,0.11201170519261,0.0904135797350714,Excl. COVID-era spikes (2020-21)
6,-0.725147731534978,0.456547925630554,-1.61998166577086,0.169686202700908,0.112212249578872,Excl. COVID-era spikes (2020-21)
7,-0.744027811015873,0.467294065190096,-1.65992417878846,0.171868556756715,0.111338715542293,Excl. COVID-era spikes (2020-21)
8,-0.573861269093251,0.356788832666803,-1.27316738112019,0.125444842933683,0.107746306914232,Excl. COVID-era spikes (2020-21)
9,-0.358261013434392,0.2361860237559,-0.821185619995957,0.104663593127173,0.129302161304389,Excl. COVID-era spikes (2020-21)
