iso3c,event_year,country,income,sample
KIR,2003,Kiribati,Lower middle income,Retained (pre-2020)
STP,2003,Sao Tome and Principe,Lower middle income,Retained (pre-2020)
MDA,2004,Moldova,Upper middle income,Retained (pre-2020)
NRU,2006,Nauru,High income,Retained (pre-2020)
CUB,2007,Cuba,Upper middle income,Retained (pre-2020)
LSO,2008,Lesotho,Lower middle income,Retained (pre-2020)
MDV,2008,Maldives,Upper middle income,Retained (pre-2020)
IRL,2009,Ireland,High income,Retained (pre-2020)
JOR,2009,Jordan,Lower middle income,Retained (pre-2020)
AND,2010,Andorra,High income,Retained (pre-2020)
TLS,2010,Timor-Leste,Lower middle income,Retained (pre-2020)
TUV,2010,Tuvalu,Upper middle income,Retained (pre-2020)
JPN,2011,Japan,High income,Retained (pre-2020)
SMR,2011,San Marino,High income,Retained (pre-2020)
SWE,2011,Sweden,High income,Retained (pre-2020)
SUR,2019,Suriname,Upper middle income,Retained (pre-2020)
CYP,2020,Cyprus,High income,Excluded (COVID-era)
GBR,2020,United Kingdom,High income,Excluded (COVID-era)
LBY,2020,Libya,Upper middle income,Excluded (COVID-era)
MNE,2020,Montenegro,Upper middle income,Excluded (COVID-era)
RUS,2020,Russian Federation,High income,Excluded (COVID-era)
USA,2020,United States,High income,Excluded (COVID-era)
CPV,2021,Cabo Verde,Lower middle income,Excluded (COVID-era)
LVA,2021,Latvia,High income,Excluded (COVID-era)
MNG,2021,Mongolia,Upper middle income,Excluded (COVID-era)
