iso3c,event_year,country,income
CUB,2012,Cuba,Upper middle income
DZA,2022,Algeria,Upper middle income
GRC,2014,Greece,High income
IRL,2015,Ireland,High income
IRQ,2012,Iraq,Upper middle income
KGZ,2015,Kyrgyz Republic,Lower middle income
KIR,2007,Kiribati,Lower middle income
LBN,2021,Lebanon,Lower middle income
LBY,2005,Libya,Upper middle income
LUX,2012,Luxembourg,High income
MDG,2019,Madagascar,Low income
MDV,2011,Maldives,Upper middle income
MHL,2005,Marshall Islands,Upper middle income
MNG,2003,Mongolia,Upper middle income
NOR,2022,Norway,High income
NRU,2003,Nauru,High income
SLB,2008,Solomon Islands,Lower middle income
STP,2006,Sao Tome and Principe,Lower middle income
SUR,2022,Suriname,Upper middle income
TUV,2003,Tuvalu,Upper middle income
VUT,2014,Vanuatu,Lower middle income
