Model,Full_coef,Full_p,PreCOVID_coef,PreCOVID_se,PreCOVID_p,PreCOVID_N
Pooled OLS (raw),1.52433591216051,,1.52433591216051,0.0811991932665586,0.00000000000000000000000000000000000000000000000000000000000000000000000000321511274694683,3750
Pooled OLS (full controls),,,0.00421244846184241,0.0365568612821205,0.908268980751741,3743
TWFE (primary),-0.121563755680868,,-0.0767302616377526,0.0693224567290266,0.269768664111054,3743
TWFE + governance,,,-0.127508387474634,0.0674028772998846,0.0600718809704563,3540
Long-difference,-0.343391793303765,,-0.221584878344328,0.179522386541002,0.218664400070231,187
Low income,,,1.14655592553074,0.464642153162235,0.0218562210711005,450
Lower-middle income,,,0.0865387253663467,0.229679085867459,0.707930670116733,1007
Upper-middle income,,,-0.158811297982554,0.0874791923882533,0.0752280803717937,1046
High income,,,0.0336347626605107,0.0429251626341372,0.436325832375012,1240
Mediation: Path A,,,-0.120134237947196,0.0287314920057229,0.0000444041879459412,3743
Mediation: Total,,,-0.0767302616377521,0.0693224567290267,0.269768664111058,3743
Mediation: Direct,,,-0.187665393540464,0.0921197786609547,0.0430328493203969,3743
Mediation: Indirect,,,0.110935131902712,,,
