t_rel,coef,se,ci_low,ci_high
-4,-0.0422572682775239,0.0738850693964236,-0.187072004294514,0.102557467739466
-3,-0.00701948838795001,0.107765814806267,-0.218240485408233,0.204201508632333
-2,0.0130732121632422,0.123984101611115,-0.229935626994544,0.256082051321028
-1,0.031073943162704,0.160341406368941,-0.283195213320421,0.345343099645829
0,0.0342955017497384,0.207611952187723,-0.372623924538199,0.441214928037676
1,0.14504564156482,0.238828751739567,-0.323058711844732,0.613149994974372
2,0.0536742893837313,0.260192946143565,-0.456303885057655,0.563652463825118
3,-0.00936746206618874,0.298699655912816,-0.594818787655308,0.57608386352293
4,-0.0142384618881057,0.268294237688637,-0.540095167757835,0.511618243981623
5,-0.0501175948373822,0.26171122328122,-0.563071592468574,0.46283640279381
6,-0.0814533018299043,0.25697068090399,-0.585115836401724,0.422209232741915
7,-0.0796062967113779,0.270340646610091,-0.609473964067157,0.450261370644401
8,0.0012867149380244,0.292098226824264,-0.571225809637534,0.573799239513582
9,0.0931286809630052,0.332795121718014,-0.559149757604303,0.745407119530313
10,0.362675130885697,0.356312223323552,-0.335696826828464,1.06104708859986
