excluded,beta,se,deviation
RWA,0.663015643223469,0.396603209872576,0.182502349856175
GMB,1.01568025309577,0.3428976585316,0.170162260016126
YEM,0.694623144854533,0.396179057832023,0.150894848225111
SDN,0.992687100108932,0.340179249555123,0.147169107029287
UGA,0.967930901067477,0.339210337004697,0.122412907987832
MWI,0.725883795108609,0.392210919618141,0.119634197971035
BFA,0.72873873654263,0.396826628317958,0.116779256537014
BDI,0.761823637525795,0.400404870637633,0.0836943555538496
TCD,0.76270039085187,0.362377346658167,0.0828176022277742
ETH,0.91087469935262,0.380683910685706,0.0653567062729761
LBR,0.908851930309985,0.374157112206283,0.0633339372303406
CAF,0.908739089993278,0.369260415005951,0.0632210969136333
MOZ,0.797846811259288,0.382709521440903,0.0476711818203566
SYR,0.798918821189878,0.37122696695132,0.0465991718897658
TGO,0.886259579875956,0.374786054374106,0.0407415867963119
NER,0.884219970303709,0.369398031944856,0.0387019772240649
MLI,0.872732020569338,0.367135181610231,0.027214027489694
GNB,0.862362265167101,0.366984892152247,0.0168442720874564
AFG,0.856283187103098,0.353483286177273,0.0107651940234532
MDG,0.836014819981591,0.396082950878847,0.00950317309805349
ERI,0.839037154741181,0.373645223501437,0.00648083833846347
SLE,0.848126669897056,0.367083272423689,0.0026086768174115
COD,0.843929605141961,0.369026538312536,0.0015883879376829
SOM,0.845517993079644,0.36416310113085,0
