iso3c,event_year,country,income
AND,2010,Andorra,High income
CPV,2021,Cabo Verde,Lower middle income
CUB,2007,Cuba,Upper middle income
CYP,2020,Cyprus,High income
GBR,2020,United Kingdom,High income
IRL,2009,Ireland,High income
JOR,2009,Jordan,Lower middle income
JPN,2011,Japan,High income
KIR,2003,Kiribati,Lower middle income
LBY,2020,Libya,Upper middle income
LSO,2008,Lesotho,Lower middle income
LVA,2021,Latvia,High income
MDA,2004,Moldova,Upper middle income
MDV,2008,Maldives,Upper middle income
MNE,2020,Montenegro,Upper middle income
MNG,2021,Mongolia,Upper middle income
NRU,2006,Nauru,High income
RUS,2020,Russian Federation,High income
SMR,2011,San Marino,High income
STP,2003,Sao Tome and Principe,Lower middle income
SUR,2019,Suriname,Upper middle income
SWE,2011,Sweden,High income
TLS,2010,Timor-Leste,Lower middle income
TUV,2010,Tuvalu,Upper middle income
USA,2020,United States,High income
