Income,Variable,Mean,SD,Min,Median,Max,N
All,HALE (years),61.2186926756319,6.98580281573836,27.2592364346778,62.8628022393612,74.5281407375039,4314
All,GHE (%GDP),3.29751092315253,2.36629718595381,0.06221032,2.730749845,22.25426292,4314
All,GDP pc PPP,13067.3296465829,21406.3839178258,109.593813612988,4331.11712931157,226052.001905201,4314
All,Urbanization (%),56.9452235130112,23.1021122020356,8.246,57.182,100,4304
All,Fertility rate,2.89033817379182,1.49148664919018,0.778,2.396,7.829,4304
All,OOP (%CHE),33.5249777411617,19.68405989928,0.05934824,31.24961662,86.49803162,4304
All,Governance composite,-0.0391798079848263,0.895341259103241,-2.16169751666667,-0.184397025,2.03369315,4108
All,Tax revenue (%GDP),16.8455517277656,7.70931400726485,0.0000627918000416869,16.2151641027597,147.640195539203,2759
Low income,HALE (years),51.3655808180764,5.06443849477455,37.9363428908928,51.5581349078263,63.8388671211528,526
Low income,GHE (%GDP),1.19168638663498,0.622306111803788,0.06221032,1.12082529,3.47107577,526
Low income,GDP pc PPP,611.932569769968,345.831051358655,109.593813612988,552.302802807839,2952.14349372257,526
Low income,Urbanization (%),31.6440213178295,12.5868738473097,8.246,32.6805,63.852,516
Low income,Fertility rate,5.44523062015504,1.01515367582747,2.746,5.4845,7.829,516
Low income,OOP (%CHE),45.2401776691861,19.84183827765,5.5548296,46.50066185,86.06919098,516
Low income,Governance composite,-0.991815656481481,0.483069035137963,-2.16169751666667,-0.930797425,0.0908293666666666,504
Low income,Tax revenue (%GDP),10.4191791964506,4.17923972298148,0.0000627918000416869,9.91931758203185,26.6828600594733,226
Lower middle income,HALE (years),57.7076269334117,5.95396617054964,27.2592364346778,58.5929958848108,68.1381828346647,1160
Lower middle income,GHE (%GDP),2.07604419201724,1.63328933199861,0.14120807,1.667705115,11.80788708,1160
Lower middle income,GDP pc PPP,1856.48794045677,1253.60543774946,136.925716400723,1506.84048562267,9174.53666204759,1160
Lower middle income,Urbanization (%),42.3341043103448,18.6498776122297,12.978,39.454,91.827,1160
Lower middle income,Fertility rate,3.6899724137931,1.15107106258819,1.448,3.569,6.639,1160
Lower middle income,OOP (%CHE),40.2269813889224,21.4393473237216,0.05934824,41.32823944,85.89756775,1160
Lower middle income,Governance composite,-0.559044901786679,0.512450323086318,-1.7942597,-0.612922333333333,1.0127916,1111
Lower middle income,Tax revenue (%GDP),15.5651184734499,10.6885915494719,2.0010471703619,14.0144985929001,147.640195539203,646
Upper middle income,HALE (years),62.2756207927434,4.38464168869984,40.9464839849198,63.3304812076012,70.0144343323546,1202
Upper middle income,GHE (%GDP),3.36020024367721,2.17919802696688,0.15856972,2.86846423,22.25426292,1202
Upper middle income,GDP pc PPP,5581.91777637016,2957.81482808228,440.538683980372,5224.32848758945,18210.5552970599,1202
Upper middle income,Urbanization (%),60.1345615640599,15.4644700962288,18.45,61.308,92.347,1202
Upper middle income,Fertility rate,2.34840890183028,0.849878804738263,1.034,2.194,5.834,1202
Upper middle income,OOP (%CHE),35.4604086145424,19.0677789203075,0.1043973,34.26207733,86.49803162,1202
Upper middle income,Governance composite,-0.22329776429192,0.570409951392959,-1.75364276666667,-0.23165205,1.1136397,1151
Upper middle income,Tax revenue (%GDP),16.2868189897344,5.24929663751644,0.91477329322806,15.8684386483501,34.6286881010585,792
High income,HALE (years),66.8183739528279,3.87674025676867,49.9183256534512,67.5648481979777,74.5281407375039,1426
High income,GHE (%GDP),5.01505128153576,2.19679602217606,0.88201147,4.807925225,16.81926155,1426
High income,GDP pc PPP,33090.8782507242,27751.7916477914,931.574723847673,25935.2448631715,226052.001905201,1426
High income,Urbanization (%),75.2977720897616,17.8517521787998,24.346,79.0575,100,1426
High income,Fertility rate,1.77217461430575,0.524824762079645,0.778,1.64225,4.206,1426
High income,OOP (%CHE),22.2025686920266,11.3901228536133,0.46788883,19.39186287,57.34558868,1426
High income,Governance composite,0.906884539679583,0.617584375025639,-0.965573866666667,0.911669708333333,2.03369315,1342
High income,Tax revenue (%GDP),19.3314297212687,6.56124335179103,0.042056449990283,20.5868919844713,44.4022650945608,1095
