Model,Coefficient,SE,t_value,p_value,CI_lower,CI_upper,N,N_countries,Term
R1_GHE_per_capita,-0.270031743296108,0.168930825452154,-1.59847524910478,0.111426573498573,-0.601136161182329,0.0610726745901138,4899,213,ln_ghe_pc
R2_CompleteCase,-0.214205369110475,0.114669414690434,-1.86802531162082,0.0637092689062649,-0.438957421903725,0.0105466836827758,2635,151,ghe_share_gdp
R2_Balanced15yr,-0.101004161528948,0.0383822947320178,-2.63153003837189,0.00912475776144414,-0.176233459203703,-0.0257748638541933,4899,213,ghe_share_gdp
R2_NoOutliers,-0.0781191782988008,0.0561529741451552,-1.39118505276075,0.165641434363284,-0.188179007623305,0.0319406510257034,4410,211,ghe_share_gdp
R3_PreCOVID,-0.0744645454946696,0.0373246612033078,-1.99504946847502,0.0473179979887375,-0.147620881453153,-0.00130820953618617,4260,213,ghe_share_gdp
R3_PostGFC,-0.098549784670422,0.0406641751933001,-2.42350383850056,0.0162107702789219,-0.17825156804929,-0.0188480012915538,2769,213,ghe_share_gdp
R3_Window_2000-2009,-0.0105632870509616,0.0419397634745252,-0.251868064477232,0.801387041559582,-0.092765223461031,0.0716386493591078,2130,213,ghe_share_gdp
R3_Window_2005-2014,0.0373683747990761,0.0630582073524733,0.592601286462204,0.554079576831535,-0.0862257116117715,0.160962461209924,2130,213,ghe_share_gdp
R3_Window_2010-2019,-0.0857608531085785,0.0448185406439803,-1.91351284259403,0.0570294944297169,-0.17360519277078,0.00208348655362281,2130,213,ghe_share_gdp
R3_Window_2014-2023,-0.0772961151251611,0.041184030484667,-1.87684678297669,0.061912756755482,-0.158016814875108,0.00342458462478613,1917,213,ghe_share_gdp
R4_LaggedDV,-0.0540445374254335,0.0274639283603012,-1.96783711042424,0.0503905589340303,-0.107873837011624,-0.000215237839243147,4686,213,ghe_share_gdp
R4_RandomEffects,-0.137484157222427,0.0343616659086298,-4.0010911458137,0.0000630510635692066,,,2635,151,ghe_share_gdp
R5_Drop_Low,-0.0712778191843016,0.0372521578427117,-1.91338766160218,0.057234190142496,-0.144292048556017,0.00173641018741334,4301,187,ghe_share_gdp
R5_Drop_Lower-middle,-0.0860290427639705,0.0354048806204251,-2.42986394125392,0.0162037507735528,-0.155422608780004,-0.0166354767479374,3726,162,ghe_share_gdp
R5_Drop_Upper-middle,-0.0803005177002678,0.0419610019152629,-1.91369400240797,0.0574559389348091,-0.162544081454183,0.00194304605364752,3680,160,ghe_share_gdp
R5_Drop_High,-0.227344970539655,0.0936431863409612,-2.42777909875767,0.0165713553262697,-0.410885615767939,-0.0438043253113714,2990,130,ghe_share_gdp
R6_MinimalControls,-0.101716842323202,0.0424460272541618,-2.39638074286984,0.0174263213690341,-0.184911055741359,-0.0185226289050447,4899,213,ghe_share_gdp
R6_ExtendedControls,-0.129291380131995,0.0485250763635167,-2.66442404260082,0.00830508728528769,-0.224400529804487,-0.0341822304595019,4899,213,ghe_share_gdp
R6_GovtEffectiveness,-0.0731952165149621,0.0385381415670082,-1.89929284440699,0.058883625456664,-0.148729973986298,0.00233954095637397,4899,213,ghe_share_gdp
R7_Winsorized,-0.112179316221476,0.0423636837619554,-2.64800664767067,0.00870550700087111,-0.195212136394909,-0.0291464960480435,4899,213,ghe_share_gdp
