model,term,estimate,std_error,statistic,p_value,ci_lower,ci_upper,n_obs,r2
R1a_log_ghe_pc,log_ghe_pc,-0.155506896084017,0.232548817552424,-0.668706457941722,0.504503005131713,-0.611302578486769,0.300288786318734,4304,0.967455197987987
R2_no_covid,ghe_share_gdp,-0.0767302616377521,0.0693224567290267,-1.10686010361234,0.269768664111058,-0.212602276826644,0.0591417535511402,3743,0.971727579819686
R3_no_outliers,ghe_share_gdp,-0.119006407661769,0.0569858019882501,-2.08835189660588,0.0381130963399263,-0.23069857955874,-0.00731423576479909,4239,0.979438902649447
R4_winsorized,ghe_w,-0.147884579336136,0.0871551473484259,-1.6967968483253,0.0913900482621569,-0.318708668139051,0.0229395094667789,4304,0.967590292911862
R5_balanced,ghe_share_gdp,-0.115738308292175,0.0683670445936384,-1.69289617505192,0.0921585033582952,-0.249737715695706,0.0182610991113568,4267,0.967311750995712
R6_no_small,ghe_share_gdp,-0.328491148742188,0.112061569582097,-2.93134524143474,0.00389664433770591,-0.548131825123098,-0.108850472361278,3444,0.967485462185193
R7_governance,ghe_share_gdp,-0.160994734343906,0.065957214570058,-2.44089650227576,0.0155822583245853,-0.29027087490122,-0.0317185937865926,4098,0.969379654768126
R8a_period_2000_2011,ghe_share_gdp,-0.0137500715252433,0.056522480574605,-0.243267305069783,0.808064976903255,-0.124534133451469,0.0970339904009825,2238,0.980743385974843
R8b_period_2012_2022,ghe_share_gdp,-0.0958150606676803,0.0409334677041343,-2.34075112717614,0.0202990043288704,-0.176044657367783,-0.0155854639675772,2065,0.988659616958972
R9_region_slopes,ghe_share_gdp:regionEast Asia & Pacific,-0.0315986292855159,0.0731282582851739,-0.432098753976782,0.666164824880485,-0.174930015524457,0.111732756953425,4304,0.969783074464938
R9_region_slopes,ghe_share_gdp:regionEurope & Central Asia,-0.0508012583916986,0.085122249726704,-0.596803521462399,0.551356579994191,-0.217640867856038,0.116038351072641,4304,0.969783074464938
R9_region_slopes,ghe_share_gdp:regionLatin America & Caribbean,-0.924827113807533,0.198155258687295,-4.66718430756857,0.00000579068942579609,-1.31321142083463,-0.536442806780435,4304,0.969783074464938
R9_region_slopes,ghe_share_gdp:regionMiddle East & North Africa,-0.0815396976445737,0.160201640254047,-0.508981665326701,0.611361911586574,-0.395534912542505,0.232455517253358,4304,0.969783074464938
R9_region_slopes,ghe_share_gdp:regionNorth America,-0.7808563213871,0.150191486445542,-5.19907179739,0.000000519759958291562,-1.07523163482036,-0.486481007953837,4304,0.969783074464938
R9_region_slopes,ghe_share_gdp:regionSouth Asia,-0.102714046709592,0.0542759139553226,-1.89244250763131,0.0599688360042595,-0.209094838062024,0.00366674464284043,4304,0.969783074464938
R9_region_slopes,ghe_share_gdp:regionSub-Saharan Africa,0.6371495902077,0.312126909270167,2.04131579586496,0.0426168837009075,0.0253808480381739,1.24891833237723,4304,0.969783074464938
