iso3c,country,income,hale_0,ghe_0,gdppc_0,year_0,hale_T,ghe_T,gdppc_T,year_T,d_hale,d_ghe,span
BWA,Botswana,Upper middle income,42.1458525017551,3.2540555,8.14636478849885,2000,59.1558259347585,4.30165005,9.02746374797955,2022,17.01,1.05,22
RWA,Rwanda,Low income,40.0949797412707,0.64626944,5.52891015868841,2000,56.3341372274438,2.80981302,6.88291871311002,2022,16.24,2.16,22
ZMB,Zambia,Lower middle income,37.6204458432979,1.47394264,5.88451805497691,2000,52.4748340074635,2.50694346,7.2773327965308,2022,14.85,1.03,22
UGA,Uganda,Low income,42.0000351021574,1.26865971,5.55315467725067,2000,56.3464059394606,0.977534,6.87012330990919,2022,14.35,-0.29,22
MWI,Malawi,Low income,39.2379834968265,1.01542294,5.41264626212205,2000,53.2608187258931,0.87761509,6.40402070615656,2022,14.02,-0.14,22
BDI,Burundi,Low income,39.3168794586192,1.46507239,4.90184565944596,2000,53.1077690093493,1.58699203,5.52399460683473,2022,13.79,0.12,22
ETH,Ethiopia,Low income,43.2108767047356,1.79949343,4.80622519255202,2000,55.8396774227511,0.72076863,6.91876774273539,2022,12.63,-1.08,22
TZA,Tanzania,Lower middle income,46.8098597844682,0.74586421,5.9957009375079,2000,59.3289168246767,0.98245382,7.09659970498667,2022,12.52,0.24,22
BFA,Burkina Faso,Low income,45.7016897596696,0.96129316,5.51708546721081,2000,58.0667468967955,2.72350121,6.7287701157446,2022,12.37,1.76,22
CIV,Cote d'Ivoire,Lower middle income,44.7029450132282,0.58689862,6.8422953108814,2000,54.9059168354516,1.33865738,7.7550694035277,2022,10.2,0.75,22
KEN,Kenya,Lower middle income,49.8167322658685,0.99912077,6.02737778970882,2000,59.7713243809551,2.02182531,7.65423604156395,2022,9.95,1.02,22
KHM,Cambodia,Lower middle income,54.0413320377603,1.27856123,5.69179992825644,2000,63.765331906501,1.17248797,7.75148843639064,2022,9.72,-0.11,22
NGA,Nigeria,Lower middle income,45.3631922900897,0.58559412,6.30503053245916,2000,54.8773682283876,0.61939389,7.66826890868018,2022,9.51,0.03,22
NER,Niger,Low income,41.8440420434042,1.12999868,5.2718294378237,2000,50.9663406168363,1.53595936,6.41304107914995,2022,9.12,0.41,22
SLE,Sierra Leone,Low income,41.4176506671829,0.89177084,4.96803215344077,2000,50.3598181197018,1.51291788,6.75783267100322,2022,8.94,0.62,22
MOZ,Mozambique,Low income,45.7868360367815,1.08604574,5.79034615080589,2000,54.3253692983619,2.7056973,6.36000917832548,2022,8.54,1.62,22
CMR,Cameroon,Lower middle income,44.756921779457,0.64510846,6.56324283058734,2000,53.2102275045218,0.67123395,7.38080256506958,2022,8.45,0.03,22
LBR,Liberia,Low income,43.5507623171485,0.64587975,5.69872082133842,2000,51.9505843390402,1.29002357,6.61287022756715,2022,8.4,0.64,22
AGO,Angola,Lower middle income,46.1620955001793,1.11098742,6.33458214640641,2000,54.5259625043929,1.51054609,7.98265341489174,2022,8.36,0.4,22
MLI,Mali,Low income,45.3671722959769,1.29322565,5.54595665245192,2000,53.511447236846,1.43022907,6.87700964450755,2022,8.14,0.14,22
LAO,Lao PDR,Lower middle income,50.4686835046022,1.23305964,5.76440663290222,2000,58.5974289580434,0.62643725,7.62383958218867,2022,8.13,-0.61,22
NAM,Namibia,Upper middle income,47.9415755412233,4.8139286,7.67632338249331,2000,55.9327928150253,4.2423048,8.37788493564437,2022,7.99,-0.57,22
CAF,Central African Republic,Low income,37.9363428908928,1.72009432,5.47710825505353,2000,45.835980406201,1.59287274,6.14709946425182,2022,7.9,-0.13,22
SDN,Sudan,Low income,51.9389054744479,1.21998167,5.89196703906012,2000,59.4813942168291,1.18913412,6.95295887120536,2022,7.54,-0.03,22
BTN,Bhutan,Lower middle income,55.1584705792549,3.29712725,6.64888728028208,2000,62.6798659339904,2.14716125,8.2191449567625,2022,7.52,-1.15,22
CHN,China,Upper middle income,61.9160104172411,0.99070781,6.87647048718439,2000,69.4233379108105,2.94645953,9.47044097178179,2022,7.51,1.96,22
COD,"Congo, Dem. Rep.",Low income,44.3752696957741,0.06221032,5.93469687848558,2000,51.7288713892731,0.69589216,6.46554153636715,2022,7.35,0.63,22
GIN,Guinea,Lower middle income,46.3892843079516,0.30125162,6.25027841429825,2000,53.4289873632182,0.72898859,7.25601217444639,2022,7.04,0.43,22
NPL,Nepal,Lower middle income,55.7489441813326,0.4859271,5.4108881271271,2000,62.7627589840237,2.10599875,7.23411272078101,2022,7.01,1.62,22
LSO,Lesotho,Lower middle income,42.1251952729363,2.90852237,6.09307200685672,2000,49.1205382789783,6.40886402,6.9374362060849,2022,7,3.5,22
SWZ,Eswatini,Lower middle income,43.7725976948824,2.41081047,7.41996489257607,2000,50.7580509674937,3.24393272,8.26607517031259,2022,6.99,0.83,22
TGO,Togo,Low income,48.1658534469524,0.29096901,6.01588834989606,2000,55.0804077610909,0.66535133,6.80101398205191,2022,6.91,0.37,22
BEN,Benin,Lower middle income,49.951901556792,1.14174652,6.18913467091287,2000,56.8437032120772,0.5155009,7.14395491532725,2022,6.89,-0.63,22
COG,"Congo, Rep.",Lower middle income,47.3136711616998,0.51469523,6.9317662847868,2000,54.1988770591523,0.80553758,7.87124940936808,2022,6.89,0.29,22
SEN,Senegal,Lower middle income,52.8539450798414,1.25274444,6.40230379272756,2000,59.7339285856092,0.89601612,7.36139328519061,2022,6.88,-0.36,22
KAZ,Kazakhstan,Upper middle income,57.1928556659864,2.11958146,7.07330739159969,2000,63.9950042058865,2.30152369,9.32859793003239,2022,6.8,0.18,22
TCD,Chad,Low income,43.1433211477585,1.52323806,5.09449632535206,2000,49.8649714366906,1.00766718,6.8732015853411,2022,6.72,-0.52,22
ZWE,Zimbabwe,Lower middle income,48.8495303644153,2.75335717,6.80411607826491,2010,55.5705494691951,1.17876518,7.6209729857805,2022,6.72,-1.57,12
MNG,Mongolia,Upper middle income,56.1673850402096,4.61119699,6.16547573244546,2000,62.6722145302841,3.11989594,8.51589532447818,2022,6.5,-1.49,22
BGD,Bangladesh,Lower middle income,54.7852795889272,0.50841981,5.9831065417121,2000,60.9868308209447,0.1549108,7.90709438571102,2022,6.2,-0.35,22
IND,India,Lower middle income,54.4543238157545,0.84906155,6.09300577115692,2000,60.6497745798332,1.2928915,7.76108418500224,2022,6.2,0.44,22
KGZ,Kyrgyz Republic,Lower middle income,58.3786568215094,2.13439822,5.63343775577934,2000,64.5494180240456,2.64341927,7.46147956516266,2022,6.17,0.51,22
GNB,Guinea-Bissau,Low income,46.1950668438208,0.5933851,5.75872981914956,2000,52.121652365876,1.09963667,6.77243699009519,2022,5.93,0.51,22
MMR,Myanmar,Lower middle income,51.5519518263178,0.27975121,5.28127079901658,2000,57.4538790518122,0.57522529,7.05449287856621,2022,5.9,0.3,22
GNQ,Equatorial Guinea,Upper middle income,46.7361662009513,0.31905925,7.30472880253375,2000,52.556861114149,0.76469702,8.93449459328561,2022,5.82,0.45,22
GHA,Ghana,Lower middle income,50.7231872420276,0.78690648,5.53633745620761,2000,56.2836801032793,2.05082273,7.7097080859004,2022,5.56,1.26,22
RUS,Russian Federation,High income,56.9606990839288,2.9796474,7.47963505087111,2000,62.4483115470239,4.88805008,9.65628272768621,2022,5.49,1.91,22
QAT,Qatar,High income,63.9552246358822,1.1739918,10.2232198456162,2000,69.3208622420781,1.79268515,11.3930316659324,2022,5.37,0.62,22
ARE,United Arab Emirates,High income,63.3066964282433,1.64852011,10.3044593256198,2000,68.614896552636,2.76933408,10.8177575500515,2022,5.31,1.12,22
EST,Estonia,High income,61.5008261580395,3.92115879,8.3115479046136,2000,66.7573847625541,5.22467852,10.2559437825902,2022,5.26,1.3,22
KOR,"Korea, Rep.",High income,66.1717382131527,1.95133317,9.41385416708948,2000,71.3088138177196,5.92036963,10.3857495948749,2022,5.14,3.97,22
AFG,Afghanistan,Low income,50.708449108,0.08418062,5.18712928344022,2002,55.5711575259034,0.18147056,5.87846703479195,2022,4.86,0.1,20
ZAF,South Africa,Upper middle income,50.9387371099163,2.68480206,8.076467761003,2000,55.7889575489831,5.40502357,8.78315267428151,2022,4.85,2.72,22
MDA,Moldova,Upper middle income,60.0042732984624,2.90143156,6.08799825986407,2000,64.8266150758718,4.5151453,8.65596267352548,2022,4.82,1.61,22
BHR,Bahrain,High income,61.325090085856,2.3711853,9.56201670150735,2000,65.8459458390793,2.49091506,10.3245150010619,2022,4.52,0.12,22
THA,Thailand,Upper middle income,62.0616769845131,1.71153057,7.60388647550586,2000,66.5831619740921,3.89274025,8.84063125364294,2022,4.52,2.18,22
YEM,"Yemen, Rep.",Low income,55.3059250095336,2.37196207,6.20098610417744,2000,59.5911293013789,0.30541709,6.42276320637591,2022,4.29,-2.07,22
MDV,Maldives,Upper middle income,62.5387401150254,2.56440163,7.70247135381923,2000,66.8137844869153,7.54362154,9.37466844212709,2022,4.28,4.98,22
COM,Comoros,Lower middle income,60.2630749445134,0.89238626,6.48464713890523,2000,64.5202517936123,0.86589533,7.33555415691696,2022,4.26,-0.03,22
ERI,Eritrea,Low income,47.5260872114165,2.05245161,5.75053054486399,2000,51.7879800364579,0.76524723,6.53477913169924,2011,4.26,-1.29,11
HTI,Haiti,Lower middle income,48.2945006701418,0.87098479,6.71003583699256,2000,52.5494606361143,0.34204665,7.47342490920202,2022,4.25,-0.53,22
MDG,Madagascar,Low income,49.9859132479877,1.84771943,5.63579947008071,2000,54.1195538436562,0.93657237,6.22161257663355,2022,4.13,-0.91,22
BLR,Belarus,Upper middle income,59.7262248021657,4.15422821,7.15170517425935,2000,63.7825055975415,4.49853516,8.98652760438031,2022,4.06,0.34,22
TLS,Timor-Leste,Lower middle income,57.0238010046536,1.30327332,6.28208197038225,2003,61.0823472167548,10.30766392,7.75929209948557,2022,4.06,9,19
LKA,Sri Lanka,Lower middle income,62.7417773540444,2.20320439,6.74106390789086,2000,66.7611760962742,1.75683677,8.11451514659804,2022,4.02,-0.45,22
TUV,Tuvalu,Upper middle income,51.5489595479552,22.25426292,7.36481237660912,2000,55.5558703683506,13.32408428,8.68462566565155,2022,4.01,-8.93,22
DJI,Djibouti,Lower middle income,54.9088815570754,1.4098289,6.60341819006157,2000,58.9044862956411,1.03265727,8.04982857219024,2022,4,-0.38,22
PAK,Pakistan,Lower middle income,55.0984756965757,0.86511302,6.46511518433422,2000,59.0753683609331,1.10801363,7.33844801966503,2022,3.98,0.24,22
JOR,Jordan,Lower middle income,62.2431297338109,4.20303917,7.35921937663589,2000,66.1831308323588,2.49221253,8.37384268560778,2022,3.94,-1.71,22
SGP,Singapore,High income,69.6773917037579,1.21474111,10.0796585228374,2000,73.6096469048872,2.77292442,11.4108824344099,2022,3.93,1.56,22
STP,Sao Tome and Principe,Lower middle income,56.0713147087053,3.49420285,6.27115738433788,2000,59.9663885032182,4.12469578,7.77893872166554,2022,3.9,0.63,22
GAB,Gabon,Upper middle income,52.7248141361203,1.06383789,8.28976703304946,2000,56.484097145059,1.83213091,9.03708250530618,2022,3.76,0.77,22
COL,Colombia,Upper middle income,63.052328525339,4.20017815,7.84581044212455,2000,66.7922814288657,5.33477688,8.80693989133888,2022,3.74,1.13,22
IRN,"Iran, Islamic Rep.",Upper middle income,62.0730999631358,1.78084624,7.40853896584483,2000,65.7582015885588,2.62993145,8.3905166312688,2022,3.69,0.85,22
LVA,Latvia,High income,60.8749310120579,2.75761819,8.09504335342302,2000,64.5569307824467,4.93344879,9.91478503216876,2022,3.68,2.18,22
TUR,Turkiye,Upper middle income,62.1896165659343,2.83683038,8.34103893782372,2000,65.7638567835516,2.78341818,9.2756133881061,2022,3.57,-0.05,22
