"group","variable","n","mean","sd","p25","median","p75"
"Overall","hale",4314,61.22,6.99,56.83,62.86,66.31
"Overall","ghe_share_gdp",4314,3.3,2.37,1.52,2.73,4.56
"Overall","gdp_per_capita_ppp",4314,13067.33,21406.38,1361.7,4331.12,14818.08
"Overall","urbanization",4304,56.95,23.1,37.33,57.18,76.02
"Overall","fertility_rate",4304,2.89,1.49,1.7,2.4,3.85
"Overall","oop_expenditure",4304,33.52,19.68,16.74,31.25,47.47
"Overall","governance_composite",4108,-0.04,0.9,-0.71,-0.18,0.63
"Overall","tax_revenue_gdp",2759,16.85,7.71,12.08,16.22,21.59
"Low income","hale",526,51.37,5.06,48.04,51.56,54.84
"Low income","ghe_share_gdp",526,1.19,0.62,0.7,1.12,1.57
"Low income","gdp_per_capita_ppp",526,611.93,345.83,382.14,552.3,778.39
"Low income","urbanization",516,31.64,12.59,20.91,32.68,39.97
"Low income","fertility_rate",516,5.45,1.02,4.68,5.48,6.17
"Low income","oop_expenditure",516,45.24,19.84,32.54,46.5,60.85
"Low income","governance_composite",504,-0.99,0.48,-1.37,-0.93,-0.62
"Low income","tax_revenue_gdp",226,10.42,4.18,8.22,9.92,12.71
"Lower middle income","hale",1160,57.71,5.95,54.43,58.59,62.31
"Lower middle income","ghe_share_gdp",1160,2.08,1.63,0.91,1.67,2.85
"Lower middle income","gdp_per_capita_ppp",1160,1856.49,1253.61,975.14,1506.84,2485.63
"Lower middle income","urbanization",1160,42.33,18.65,26.96,39.45,55.18
"Lower middle income","fertility_rate",1160,3.69,1.15,2.72,3.57,4.58
"Lower middle income","oop_expenditure",1160,40.23,21.44,24.08,41.33,56.38
"Lower middle income","governance_composite",1111,-0.56,0.51,-0.93,-0.61,-0.26
"Lower middle income","tax_revenue_gdp",646,15.57,10.69,11,14.01,17.55
"Upper middle income","hale",1202,62.28,4.38,60.69,63.33,65.08
"Upper middle income","ghe_share_gdp",1202,3.36,2.18,2.03,2.87,4.21
"Upper middle income","gdp_per_capita_ppp",1202,5581.92,2957.81,3455.35,5224.33,7269.06
"Upper middle income","urbanization",1202,60.13,15.46,49.71,61.31,71.41
"Upper middle income","fertility_rate",1202,2.35,0.85,1.7,2.19,2.75
"Upper middle income","oop_expenditure",1202,35.46,19.07,22.72,34.26,49.12
"Upper middle income","governance_composite",1151,-0.22,0.57,-0.59,-0.23,0.15
"Upper middle income","tax_revenue_gdp",792,16.29,5.25,12.84,15.87,19.65
"High income","hale",1426,66.82,3.88,64.88,67.56,69.53
"High income","ghe_share_gdp",1426,5.02,2.2,3.25,4.81,6.63
"High income","gdp_per_capita_ppp",1426,33090.88,27751.79,14887.86,25935.24,44336.74
"High income","urbanization",1426,75.3,17.85,66.85,79.06,87.64
"High income","fertility_rate",1426,1.77,0.52,1.41,1.64,1.97
"High income","oop_expenditure",1426,22.2,11.39,13.69,19.39,29.05
"High income","governance_composite",1342,0.91,0.62,0.49,0.91,1.42
"High income","tax_revenue_gdp",1095,19.33,6.56,14.87,20.59,23.85
