"model","term","estimate","std_error","statistic","p_value","ci_lower","ci_upper","n_obs","r2"
"R1a_log_ghe_pc","log_ghe_pc",-0.155506896084017,0.232548817552424,-0.668706457941722,0.504503005131713,-0.611302578486769,0.300288786318734,4304,0.967455197987987
"R1a_log_ghe_pc","log_gdppc",1.03156199089499,0.321987142957207,3.20373658842672,0.00159360668451757,0.400467190698862,1.66265679109111,4304,0.967455197987987
"R1a_log_ghe_pc","urbanization",0.0851050106211236,0.0392621320498227,2.16761052387903,0.0314453808123976,0.00815123180347116,0.162058789438776,4304,0.967455197987987
"R1a_log_ghe_pc","fertility_rate",-1.22065958894171,0.327336464675944,-3.72906694080091,0.00025428692432134,-1.86223905970656,-0.579080118176859,4304,0.967455197987987
"R2_no_covid","ghe_share_gdp",-0.0767302616377521,0.0693224567290267,-1.10686010361234,0.269768664111058,-0.212602276826644,0.0591417535511402,3743,0.971727579819686
"R2_no_covid","log_gdppc",0.847075980080552,0.25742086642061,3.29062671514936,0.00119372243160825,0.342531081896157,1.35162087826495,3743,0.971727579819686
"R2_no_covid","urbanization",0.0882861821988104,0.0417774979672289,2.11324723821574,0.0358989502841493,0.00640228618304171,0.170170078214579,3743,0.971727579819686
"R2_no_covid","fertility_rate",-1.25999982998301,0.351719979475027,-3.58239481266794,0.000433563268142314,-1.94937098975407,-0.570628670211959,3743,0.971727579819686
"R3_no_outliers","ghe_share_gdp",-0.119006407661769,0.0569858019882501,-2.08835189660588,0.0381130963399263,-0.23069857955874,-0.00731423576479909,4239,0.979438902649447
"R3_no_outliers","log_gdppc",0.894434628797734,0.172809494365865,5.17584194132339,5.79646222483143e-07,0.555728019840637,1.23314123775483,4239,0.979438902649447
"R3_no_outliers","urbanization",0.0729338391611335,0.0287259820746969,2.53895024272736,0.0119287571815909,0.0166309142947276,0.129236764027539,4239,0.979438902649447
"R3_no_outliers","fertility_rate",-0.876063350420496,0.232408690871851,-3.76949479442467,0.000218887638543186,-1.33158438452932,-0.420542316311667,4239,0.979438902649447
"R4_winsorized","ghe_w",-0.147884579336136,0.0871551473484259,-1.6967968483253,0.0913900482621569,-0.318708668139051,0.0229395094667789,4304,0.967590292911862
"R4_winsorized","log_gdppc",0.845621471718045,0.228298208368805,3.70402149784716,0.000278862493573691,0.398156983315186,1.2930859601209,4304,0.967590292911862
"R4_winsorized","urbanization",0.081674733701642,0.0394482474668394,2.07042743205002,0.0397788460711047,0.0043561686666368,0.158993298736647,4304,0.967590292911862
"R4_winsorized","fertility_rate",-1.18946576540109,0.326837164957595,-3.63932224646306,0.000353140008265283,-1.83006660871798,-0.548864922084207,4304,0.967590292911862
"R5_balanced","ghe_share_gdp",-0.115738308292175,0.0683670445936384,-1.69289617505192,0.0921585033582952,-0.249737715695706,0.0182610991113568,4267,0.967311750995712
"R5_balanced","log_gdppc",0.835707851368027,0.229100792834017,3.64777372016122,0.000343848240825328,0.386670297413353,1.2847454053227,4267,0.967311750995712
"R5_balanced","urbanization",0.0843762281950081,0.0394809597949498,2.1371372082449,0.0339001421917974,0.00699354699690641,0.16175890939311,4267,0.967311750995712
"R5_balanced","fertility_rate",-1.19451850807976,0.328010713706848,-3.64170576802358,0.000351497050312173,-1.83741950694518,-0.551617509214337,4267,0.967311750995712
