"model","term","estimate","std_error","statistic","p_value","ci_lower","ci_upper","n_obs","r2"
"OLS_1_raw","(Intercept)",56.36,0.2345,240.3,0,55.9,56.82,4314,0.248857369197833
"OLS_1_raw","ghe_share_gdp",1.473,0.07001,21.04,1.318e-93,1.336,1.61,4314,0.248857369197833
"OLS_2_gdp","(Intercept)",31.94,0.4498,71,0,31.05,32.82,4314,0.61033596835133
"OLS_2_gdp","ghe_share_gdp",0.1641,0.0443,3.705,0.000214,0.0773,0.2509,4314,0.61033596835133
"OLS_2_gdp","log_gdppc",3.412,0.06096,55.97,0,3.292,3.531,4314,0.61033596835133
"OLS_3_full_controls","(Intercept)",53.1,0.5266,100.8,0,52.07,54.13,4304,0.732603480040464
"OLS_3_full_controls","ghe_share_gdp",-0.01141,0.03322,-0.3436,0.7312,-0.07653,0.0537,4304,0.732603480040464
"OLS_3_full_controls","log_gdppc",1.713,0.06524,26.26,4.72e-141,1.585,1.841,4304,0.732603480040464
"OLS_3_full_controls","urbanization",0.01258,0.004112,3.059,0.002234,0.00452,0.02064,4304,0.732603480040464
"OLS_3_full_controls","fertility_rate",-2.416,0.05229,-46.21,0,-2.519,-2.314,4304,0.732603480040464
"TWFE_1_baseline","ghe_share_gdp",-0.2062,0.07958,-2.591,0.01033,-0.3622,-0.05018,4314,0.963666663818669
"TWFE_2_gdp","ghe_share_gdp",-0.1873,0.07718,-2.427,0.01616,-0.3386,-0.03604,4314,0.964456458053207
"TWFE_2_gdp","log_gdppc",0.8453,0.2477,3.413,0.0007858,0.3599,1.331,4314,0.964456458053207
"TWFE_3_full_controls","ghe_share_gdp",-0.1216,0.06835,-1.779,0.07693,-0.2555,0.0124,4304,0.967574835939025
"TWFE_3_full_controls","log_gdppc",0.8499,0.2279,3.73,0.0002536,0.4033,1.297,4304,0.967574835939025
"TWFE_3_full_controls","urbanization",0.0826,0.03934,2.099,0.03711,0.005487,0.1597,4304,0.967574835939025
"TWFE_3_full_controls","fertility_rate",-1.196,0.3268,-3.659,0.0003286,-1.837,-0.5554,4304,0.967574835939025
"TWFE_4_quadratic","ghe_share_gdp",-0.1695,0.1433,-1.183,0.2383,-0.4504,0.1113,4304,0.967583798308033
"TWFE_4_quadratic","I(I(ghe_share_gdp^2))",0.003481,0.006378,0.5458,0.5859,-0.00902,0.01598,4304,0.967583798308033
"TWFE_4_quadratic","log_gdppc",0.8518,0.2277,3.74,0.0002442,0.4054,1.298,4304,0.967583798308033
"TWFE_4_quadratic","urbanization",0.0823,0.03939,2.09,0.03799,0.005107,0.1595,4304,0.967583798308033
"TWFE_4_quadratic","fertility_rate",-1.197,0.3263,-3.668,0.0003187,-1.836,-0.5572,4304,0.967583798308033
"IV_2SLS_tax_revenue","fit_ghe_share_gdp",9.423,114.5,0.0823,0.9345,-215,233.8,2753,0.976489591041159
"IV_2SLS_tax_revenue","log_gdppc",3.947,35.19,0.1122,0.9109,-65.03,72.92,2753,0.976489591041159
"IV_2SLS_tax_revenue","urbanization",0.3444,3.239,0.1063,0.9155,-6.004,6.693,2753,0.976489591041159
"IV_2SLS_tax_revenue","fertility_rate",-1.769,11.84,-0.1494,0.8815,-24.98,21.44,2753,0.976489591041159
"TWFE_5_lags","ghe_share_gdp",-0.1221,0.05226,-2.336,0.02053,-0.2245,-0.01967,3926,0.970754056016192
"TWFE_5_lags","ghe_l1",-0.02113,0.02685,-0.7871,0.4322,-0.07375,0.03149,3926,0.970754056016192
"TWFE_5_lags","ghe_l2",-0.01857,0.04454,-0.417,0.6772,-0.1059,0.06873,3926,0.970754056016192
"TWFE_5_lags","log_gdppc",0.6777,0.2424,2.795,0.005726,0.2025,1.153,3926,0.970754056016192
"TWFE_5_lags","urbanization",0.08078,0.03965,2.037,0.04303,0.003062,0.1585,3926,0.970754056016192
"TWFE_5_lags","fertility_rate",-1.093,0.3165,-3.453,0.0006838,-1.713,-0.4727,3926,0.970754056016192
"TWFE_6_lead_placebo","ghe_f2",-0.1471,0.07032,-2.091,0.03783,-0.2849,-0.009241,3926,0.970063366294054
"TWFE_6_lead_placebo","log_gdppc",0.8688,0.2435,3.567,0.0004577,0.3914,1.346,3926,0.970063366294054
"TWFE_6_lead_placebo","urbanization",0.08449,0.04121,2.05,0.04174,0.003713,0.1653,3926,0.970063366294054
"TWFE_6_lead_placebo","fertility_rate",-1.229,0.3427,-3.586,0.0004278,-1.901,-0.5573,3926,0.970063366294054
"LongDiff_2000_latest","(Intercept)",2.737,0.5156,5.309,3.175e-07,1.727,3.748,186,0.0665495924839129
"LongDiff_2000_latest","d_ghe",-0.3304,0.1339,-2.467,0.01454,-0.5928,-0.06791,186,0.0665495924839129
"LongDiff_2000_latest","d_loggdp",1.207,0.3566,3.386,0.0008674,0.5085,1.906,186,0.0665495924839129
"TWFE_7_income_interactions","log_gdppc",0.8787,0.2378,3.695,0.000288,0.4126,1.345,4304,0.968340155569802
"TWFE_7_income_interactions","urbanization",0.09063,0.03868,2.343,0.02017,0.01482,0.1665,4304,0.968340155569802
"TWFE_7_income_interactions","fertility_rate",-1.143,0.3119,-3.664,0.0003234,-1.754,-0.5313,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseLow income",0.9756,0.5519,1.768,0.0787,-0.106,2.057,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseLower middle income",-0.08851,0.2077,-0.426,0.6706,-0.4957,0.3187,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseUpper middle income",-0.3469,0.1273,-2.724,0.007061,-0.5965,-0.09727,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseHigh income",-0.03928,0.0698,-0.5627,0.5743,-0.1761,0.09752,4304,0.968340155569802
"SystemGMM_twostep","lag(hale, 1)",0.8625,0.02339,36.88,9.11899999999999e-298,0.8167,0.9083,4304,NA
"SystemGMM_twostep","ghe_share_gdp",-0.03294,0.08064,-0.4084,0.6829,-0.191,0.1251,4304,NA
"SystemGMM_twostep","log_gdppc",0.9803,0.1479,6.629,3.372e-11,0.6905,1.27,4304,NA
"SystemGMM_twostep","urbanization",-0.006604,0.005968,-1.107,0.2685,-0.0183,0.005093,4304,NA
"SystemGMM_twostep","fertility_rate",0.2626,0.07798,3.367,0.0007597,0.1097,0.4154,4304,NA
"LongDiff_firststage","(Intercept)",0.1026,0.3591,0.2857,0.7755,-0.6012,0.8064,151,0.180053967302603
"LongDiff_firststage","tax0",0.0598,0.01587,3.768,0.0002367,0.0287,0.0909,151,0.180053967302603
"LongDiff_firststage","d_gdp",-0.02596,0.181,-0.1434,0.8862,-0.3808,0.3289,151,0.180053967302603
"LongDiff_OLS","(Intercept)",2.687,0.6736,3.989,0.0001041,1.367,4.007,151,0.0693653201885366
"LongDiff_OLS","d_ghe",-0.4036,0.1814,-2.225,0.02756,-0.7591,-0.04815,151,0.0693653201885366
"LongDiff_OLS","d_gdp",1.364,0.4197,3.25,0.001428,0.5415,2.187,151,0.0693653201885366
"LongDiff_2SLS_tax0","(Intercept)",3.108,1.014,3.065,0.002586,1.121,5.095,151,0.0605360544162562
"LongDiff_2SLS_tax0","fit_d_ghe",-0.7677,0.6919,-1.11,0.269,-2.124,0.5885,151,0.0605360544162562
"LongDiff_2SLS_tax0","d_gdp",1.329,0.429,3.097,0.002339,0.4878,2.169,151,0.0605360544162562
"R1a_log_ghe_pc","log_ghe_pc",-0.1555,0.2325,-0.6687,0.5045,-0.6113,0.3003,4304,0.967455197987987
"R2_no_covid","ghe_share_gdp",-0.07673,0.06932,-1.107,0.2698,-0.2126,0.05914,3743,0.971727579819686
"R3_no_outliers","ghe_share_gdp",-0.119,0.05699,-2.088,0.03811,-0.2307,-0.007314,4239,0.979438902649447
"R4_winsorized","ghe_w",-0.1479,0.08716,-1.697,0.09139,-0.3187,0.02294,4304,0.967590292911862
"R5_balanced","ghe_share_gdp",-0.1157,0.06837,-1.693,0.09216,-0.2497,0.01826,4267,0.967311750995712
"R6_no_small","ghe_share_gdp",-0.3285,0.1121,-2.931,0.003897,-0.5481,-0.1089,3444,0.967485462185193
"R7_governance","ghe_share_gdp",-0.161,0.06596,-2.441,0.01558,-0.2903,-0.03172,4098,0.969379654768126
"R8a_period_2000_2011","ghe_share_gdp",-0.01375,0.05652,-0.2433,0.8081,-0.1245,0.09703,2238,0.980743385974843
"R8b_period_2012_2022","ghe_share_gdp",-0.09582,0.04093,-2.341,0.0203,-0.176,-0.01559,2065,0.988659616958972
"R9_region_slopes","ghe_share_gdp:regionEast Asia & Pacific",-0.0316,0.07313,-0.4321,0.6662,-0.1749,0.1117,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionEurope & Central Asia",-0.0508,0.08512,-0.5968,0.5514,-0.2176,0.116,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionLatin America & Caribbean",-0.9248,0.1982,-4.667,5.791e-06,-1.313,-0.5364,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionMiddle East & North Africa",-0.08154,0.1602,-0.509,0.6114,-0.3955,0.2325,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionNorth America",-0.7809,0.1502,-5.199,5.198e-07,-1.075,-0.4865,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionSouth Asia",-0.1027,0.05428,-1.892,0.05997,-0.2091,0.003667,4304,0.969783074464938
"R9_region_slopes","ghe_share_gdp:regionSub-Saharan Africa",0.6371,0.3121,2.041,0.04262,0.02538,1.249,4304,0.969783074464938
