"year","n_countries","n_hale","n_ghe","n_gdppc","n_governance","n_urban_fert","n_tax"
2000,215,198,184,202,196,212,86
2001,215,198,184,203,0,212,92
2002,215,198,185,207,196,212,97
2003,215,198,187,207,196,212,101
2004,215,198,187,207,200,212,104
2005,215,198,187,207,200,212,105
2006,215,198,187,208,200,212,108
2007,215,198,187,208,200,212,109
2008,215,198,187,209,200,212,118
2009,215,198,187,211,201,212,122
2010,215,198,188,211,202,212,126
2011,215,198,189,212,202,212,130
2012,215,198,189,210,202,212,134
2013,215,198,190,210,202,212,132
2014,215,198,190,211,202,212,142
2015,215,198,190,210,202,212,145
2016,215,198,190,209,202,212,143
2017,215,198,191,209,202,212,143
2018,215,198,191,209,203,212,138
2019,215,198,191,210,204,212,137
2020,215,198,191,209,204,212,135
2021,215,198,191,209,204,212,125
2022,215,198,190,208,204,212,112
